Region,Category,Product,SalesChannel,Revenue,Profit,ProfitMargin,Date
Northwest,Bikes,"Mountain-100 Silver, 42",Reseller,81599.76,5113.58,6.26,01 May 2011
Northwest,Bikes,"Mountain-100 Silver, 44",Reseller,65279.81,4090.87,6.26,29 October 2011
Southwest,Bikes,"Mountain-200 Black, 38",Reseller,65161.32,6553.39,10.05,29 February 2012
Southwest,Bikes,"Mountain-200 Black, 42",Reseller,62702.40,6306.09,10.05,29 February 2012
Northwest,Bikes,"Mountain-100 Black, 48",Reseller,54674.84,3426.29,6.26,01 August 2011
Northwest,Bikes,"Mountain-100 Black, 44",Reseller,54674.84,3426.29,6.26,31 May 2011
Southwest,Bikes,"Road-250 Black, 52",Reseller,53666.44,-481.60,-0.89,28 October 2012
Southwest,Bikes,"Mountain-200 Silver, 42",Reseller,53442.63,5374.82,10.05,29 February 2012
Northwest,Bikes,"Mountain-100 Silver, 38",Reseller,53039.84,3323.83,6.26,01 May 2011
Southwest,Bikes,"Road-250 Red, 44",Reseller,52776.36,-1899.95,-3.60,30 April 2012
Southwest,Bikes,"Mountain-100 Black, 44",Reseller,52649.84,3299.39,6.26,29 October 2011
Northwest,Bikes,"Mountain-100 Black, 38",Reseller,52649.84,3299.39,6.26,01 August 2011
Southwest,Bikes,"Mountain-200 Silver, 46",Reseller,50956.92,5124.83,10.05,29 February 2012
Northwest,Bikes,"Mountain-100 Black, 48",Reseller,50624.85,3172.49,6.26,01 May 2011
Southwest,Bikes,"Mountain-100 Silver, 44",Reseller,48959.86,3068.15,6.26,01 March 2011
Northwest,Bikes,"Mountain-100 Black, 44",Reseller,48599.86,3045.59,6.26,01 May 2011
Southwest,Bikes,"Mountain-200 Black, 38",Reseller,48194.79,4375.44,9.07,28 February 2013
Southwest,Bikes,"Mountain-100 Silver, 48",Reseller,46919.86,2940.31,6.26,31 May 2011
Southwest,Bikes,"Mountain-100 Silver, 38",Reseller,46919.86,2940.31,6.26,31 May 2011
Southwest,Bikes,"Mountain-200 Black, 38",Reseller,46719.44,4698.66,10.05,30 May 2012
Northwest,Bikes,"Mountain-200 Black, 42",Reseller,46719.44,4698.66,10.05,30 April 2012
Northwest,Bikes,"Mountain-100 Black, 42",Reseller,46574.86,2918.69,6.26,29 October 2011
Southeast,Bikes,"Mountain-100 Black, 44",Reseller,46574.86,2918.69,6.26,01 May 2011
Southwest,Bikes,"Mountain-100 Black, 48",Reseller,46574.86,2918.69,6.26,31 May 2011
Canada,Bikes,"Mountain-200 Black, 42",Reseller,45489.98,4575.01,10.05,29 February 2012
Northwest,Bikes,"Mountain-100 Silver, 38",Reseller,44879.87,2812.47,6.26,29 January 2011
Northwest,Bikes,"Mountain-100 Silver, 44",Reseller,44879.87,2812.47,6.26,01 May 2011
Northwest,Bikes,"Mountain-100 Silver, 48",Reseller,44879.87,2812.47,6.26,01 May 2011
Southwest,Bikes,"Mountain-200 Silver, 38",Reseller,44742.66,4499.85,10.05,29 February 2012
Southwest,Bikes,"Mountain-100 Black, 38",Reseller,44549.87,2791.79,6.26,31 May 2011
Southwest,Bikes,"Mountain-100 Black, 42",Reseller,44549.87,2791.79,6.26,29 August 2011
Northwest,Bikes,"Mountain-100 Black, 44",Reseller,44549.87,2791.79,6.26,01 August 2011
Northwest,Bikes,"Mountain-100 Black, 48",Reseller,44549.87,2791.79,6.26,29 January 2011
Central,Bikes,"Mountain-100 Black, 48",Reseller,44549.87,2791.79,6.26,29 October 2011
Canada,Bikes,"Road-250 Black, 44",Reseller,44503.88,-399.37,-0.89,29 January 2012
Northwest,Bikes,"Mountain-200 Black, 38",Reseller,44260.52,4451.36,10.05,30 April 2012
Southwest,Bikes,"Road-250 Red, 44",Reseller,43980.30,-1583.29,-3.60,29 January 2012
Southeast,Bikes,"Mountain-100 Silver, 44",Reseller,42839.87,2684.63,6.26,01 May 2011
Northwest,Bikes,"Mountain-200 Black, 42",Reseller,42686.81,3875.39,9.07,30 April 2013
Southwest,Bikes,"Mountain-100 Black, 42",Reseller,42524.87,2664.89,6.26,31 May 2011
Southwest,Bikes,"Mountain-100 Black, 44",Reseller,42524.87,2664.89,6.26,01 March 2011
Southwest,Bikes,"Road-250 Red, 44",Reseller,42514.29,-1530.52,-3.60,28 October 2012
Southwest,Bikes,"Road-250 Red, 48",Reseller,42514.29,-1530.52,-3.60,31 July 2012
Southwest,Bikes,"Mountain-200 Silver, 38",Reseller,42256.96,4249.86,10.05,28 November 2012
Northwest,Bikes,"Mountain-200 Silver, 42",Reseller,42256.96,4249.86,10.05,29 January 2012
Southwest,Bikes,"Road-250 Black, 48",Reseller,41886.00,-375.88,-0.89,28 October 2012
Southwest,Bikes,"Mountain-200 Black, 38",Reseller,41801.60,4204.06,10.05,28 November 2012
Northwest,Bikes,"Touring-1000 Blue, 46",Reseller,41482.82,-1493.38,-3.59,29 November 2013
Canada,Bikes,"Mountain-200 Black, 38",Reseller,41309.82,3750.38,9.07,30 May 2013
Southwest,Bikes,"Road-250 Red, 48",Reseller,41048.28,-1477.74,-3.60,29 January 2012
Southwest,Bikes,"Mountain-200 Silver, 38",Reseller,41014.11,4124.86,10.05,30 May 2012
Southwest,Bikes,"Mountain-100 Silver, 42",Reseller,40799.88,2556.79,6.26,01 March 2011
Southwest,Bikes,"Mountain-100 Silver, 48",Reseller,40799.88,2556.79,6.26,01 March 2011
Canada,Bikes,"Mountain-100 Silver, 42",Reseller,40799.88,2556.79,6.26,29 August 2011
Central,Bikes,"Mountain-100 Silver, 42",Reseller,40799.88,2556.79,6.26,01 May 2011
Central,Bikes,"Mountain-100 Silver, 42",Reseller,40799.88,2556.79,6.26,29 October 2011
Canada,Bikes,"Road-150 Red, 56",Reseller,40792.28,-462.31,-1.13,29 October 2011
Central,Bikes,"Mountain-100 Black, 48",Reseller,40499.88,2537.99,6.26,01 May 2011
Southwest,Bikes,"Mountain-100 Black, 44",Reseller,40499.88,2537.99,6.26,29 August 2011
Southwest,Bikes,"Mountain-100 Black, 38",Reseller,40499.88,2537.99,6.26,29 August 2011
Northwest,Bikes,"Mountain-100 Black, 42",Reseller,40499.88,2537.99,6.26,29 January 2011
Northwest,Bikes,"Mountain-100 Black, 42",Reseller,40499.88,2537.99,6.26,31 May 2011
Northwest,Bikes,"Mountain-100 Black, 38",Reseller,40499.88,2537.99,6.26,01 May 2011
Northwest,Bikes,"Touring-1000 Yellow, 60",Reseller,40052.38,-1441.89,-3.59,29 November 2013
Southwest,Bikes,"Mountain-200 Black, 42",Reseller,39932.83,3625.37,9.07,30 May 2013
Northwest,Bikes,"Mountain-200 Black, 38",Reseller,39342.68,3956.76,10.05,31 July 2012
Canada,Bikes,"Mountain-200 Black, 38",Reseller,39342.68,3956.76,10.05,30 May 2012
Central,Bikes,"Mountain-100 Silver, 38",Reseller,38759.89,2428.95,6.26,29 October 2011
Southwest,Bikes,"Mountain-100 Silver, 44",Reseller,38759.89,2428.95,6.26,01 August 2011
Southwest,Bikes,"Mountain-100 Silver, 42",Reseller,38759.89,2428.95,6.26,01 August 2011
